Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9447,-84.7803,,,,,,
Cottus_carolinae,Cottus,carolinae,34.93833,-84.78472,,,,,,
Cottus_carolinae,Cottus,carolinae,38.215,-84.7987,,,,,,
Cottus_carolinae,Cottus,carolinae,34.38417,-84.83806,,,,,,
Cottus_carolinae,Cottus,carolinae,34.82861,-84.8575,,,,,,
Cottus_carolinae,Cottus,carolinae,37.25639,-84.87945,,,,,,
Cottus_carolinae,Cottus,carolinae,37.165,-84.88028,,,,,,
Cottus_carolinae,Cottus,carolinae,34.24445,-84.91306,,,,,,
Cottus_carolinae,Cottus,carolinae,32.80222,-84.91528,,,,,,
Cottus_carolinae,Cottus,carolinae,32.8205,-84.9186,,,,,,
Cottus_carolinae,Cottus,carolinae,32.81028,-84.91889,,,,,,
Cottus_carolinae,Cottus,carolinae,32.81028,-84.91889,,,,,,
Cottus_carolinae,Cottus,carolinae,32.81028,-84.91889,,,,,,
Cottus_carolinae,Cottus,carolinae,37.31667,-84.92583,,,,,,
Cottus_carolinae,Cottus,carolinae,33.52917,-84.92889,,,,,,
Cottus_carolinae,Cottus,carolinae,33.52917,-84.92889,,,,,,
Cottus_carolinae,Cottus,carolinae,32.81167,-84.93389,,,,,,
Cottus_carolinae,Cottus,carolinae,37.21444,-84.93945,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3506,-84.9458,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3506,-84.9458,,,,,,
Cottus_carolinae,Cottus,carolinae,37.19556,-84.94889,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2687,-84.9612,,,,,,
Cottus_carolinae,Cottus,carolinae,32.71361,-84.96889,,,,,,
Cottus_carolinae,Cottus,carolinae,37.21361,-84.97083,,,,,,
Cottus_carolinae,Cottus,carolinae,36.666317,-84.973114,,,,,,
Cottus_carolinae,Cottus,carolinae,36.66632,-84.97312,,,,,,
Cottus_carolinae,Cottus,carolinae,37.214832,-84.97446,,,,,,
Cottus_carolinae,Cottus,carolinae,36.5512,-84.9792,,,,,,
Cottus_carolinae,Cottus,carolinae,37.1077,-84.9895,,,,,,
Cottus_carolinae,Cottus,carolinae,36.564068,-85.01107,,,,,,
Cottus_carolinae,Cottus,carolinae,36.56407,-85.01107,,,,,,
Cottus_carolinae,Cottus,carolinae,36.56361,-85.01139,,,,,,
Cottus_carolinae,Cottus,carolinae,34.20611,-85.07472,,,,,,
Cottus_carolinae,Cottus,carolinae,34.25417,-85.07972,,,,,,
Cottus_carolinae,Cottus,carolinae,34.445,-85.0853,,,,,,
Cottus_carolinae,Cottus,carolinae,34.445,-85.0853,,,,,,
Cottus_carolinae,Cottus,carolinae,34.44444,-85.08583,,,,,,
Cottus_carolinae,Cottus,carolinae,34.4308,-85.1247,,,,,,
Cottus_carolinae,Cottus,carolinae,34.4308,-85.1247,,,,,,
Cottus_carolinae,Cottus,carolinae,34.91917,-85.12583,,,,,,
Cottus_carolinae,Cottus,carolinae,34.16306,-85.13361,,,,,,
Cottus_carolinae,Cottus,carolinae,37.0561,-85.161,,,,,,
Cottus_carolinae,Cottus,carolinae,34.1825,-85.16444,,,,,,
Cottus_carolinae,Cottus,carolinae,34.1825,-85.16444,,,,,,
Cottus_carolinae,Cottus,carolinae,34.5832,-85.1875,,,,,,
Cottus_carolinae,Cottus,carolinae,36.29148,-85.1978,,,,,,
Cottus_carolinae,Cottus,carolinae,36.291485,-85.1978,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7628,-85.2233,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7628,-85.2233,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7628,-85.2233,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7628,-85.2233,,,,,,
Cottus_carolinae,Cottus,carolinae,33.763218,-85.2237,,,,,,
Cottus_carolinae,Cottus,carolinae,33.76322,-85.2237,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7675,-85.252,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7675,-85.252,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7675,-85.252,,,,,,
Cottus_carolinae,Cottus,carolinae,33.7675,-85.252,,,,,,
Cottus_carolinae,Cottus,carolinae,37.4308,-85.2824,,,,,,
Cottus_carolinae,Cottus,carolinae,34.0883,-85.2847,,,,,,
Cottus_carolinae,Cottus,carolinae,34.0883,-85.2847,,,,,,
Cottus_carolinae,Cottus,carolinae,34.5975,-85.28472,,,,,,
Cottus_carolinae,Cottus,carolinae,35.123333,-85.297775,,,,,,
Cottus_carolinae,Cottus,carolinae,34.53944,-85.30055,,,,,,
Cottus_carolinae,Cottus,carolinae,35.43295,-85.304115,,,,,,
Cottus_carolinae,Cottus,carolinae,35.43295,-85.30412,,,,,,
Cottus_carolinae,Cottus,carolinae,36.3947,-85.3067,,,,,,
Cottus_carolinae,Cottus,carolinae,36.0807,-85.3243,,,,,,
Cottus_carolinae,Cottus,carolinae,36.084034,-85.32825,,,,,,
